,level_0,index,License Number,Blood Group,Citizenship Number,Electricity Bill ID,SC Number,votersID,Age,Spouse Name,PAN Number,Customer Code,National Id,Mother Name,Gender,Name,Mobile Number,Father Name,Permanent Address,Temporary Address,Date of Birth,Updated Date,uid
10,9,12,73-02-11496212,O-,371-38746-28131/634277,3257.0,001.01.13,13135698.0,31.0,Sita Yadav,VWXY9012NZ,13235698.0,KL789M,Ganga Yadav, Male,Pratik Shahi,3456789013.0,Suresh Kumar Shahi,"Itahari, Sunsari, Nepal","Tinkune, Kathmandu, Nepal",1989-01-13,2024-05-28,KY0DOQKNF7
11,10,13,94-08-09289547,AB-,506-21915-16175/214975,3258.0,001.01.14,14147652.0,29.0,Mina Bista,ABCD3456OP,14247652.0,NO012P,Sunita Bista, Female,Anju Bhattarai,4567890124.0,Dinesh Raj Bhattarai,"Bhaktapur, Bhaktapur, Nepal","Sinamangal, Kathmandu, Nepal",1988-02-14,2024-05-28,MAPCZPD48H
12,11,3,65-03-68139881,A-,571-38785-99733/440035,3248.0,001.01.04,44475489.0,30.0,Surya Rai,QRSTU3456M,45475489.0,JK012L,Mina Rai, Female,Gita Tamang,4567890123.0,Shyam Lal Tamang,"Biratnagar, Morang, Nepal","Bagbazar, Kathmandu, Nepal",1993-04-04,2024-05-28,NI09Y88CD8
13,12,17,68-10-56792613,B-,542-42953-82512/112038,3262.0,001.01.18,18183569.0,28.0,Anita Bhattarai,EFGH9012EF,18383569.0,ZA234B,Meena Bhattarai, Female,Rita Rimal,8901234568.0,Ganesh Bahadur Rimal,"Tansen, Palpa, Nepal","Buddhanagar, Kathmandu, Nepal",1984-06-18,2024-05-28,ONAACCOER9
14,13,1,21-08-00435579,AB-,747-42087-31417/584714,3246.0,001.01.02,22259363.0,38.0,Ravi Sharma,FGHIJ5678K,22359363.0,DE456F,Radha Sharma, Female,Sita Shrestha,2345678901.0,Hari Prasad Shrestha,"Lakeside, Pokhara, Nepal","New Road, Pokhara, Nepal",1991-02-02,2024-05-28,PAGWI1U253
15,14,18,28-09-97969690,AB+,697-25014-99353/663054,3263.0,001.01.19,19194258.0,46.0,Sanu Gurung,IJKL3456GH,19294258.0,CD567E,Manju Gurung, Male,Pratiksha Dahal,9012345679.0,Santosh Bahadur Dahal,"Bidur, Nuwakot, Nepal","Naxal, Kathmandu, Nepal",1983-07-19,2024-05-28,POO7HLXCEM
16,15,16,71-03-35575299,AB-,395-60019-88104/590785,3261.0,001.01.17,17175246.0,37.0,Amit Joshi,YZAB5678CD,17375246.0,WX901Y,Sarita Joshi, Male,Anil Khadka,7890123457.0,Rajesh Bahadur Khadka,"Ghorahi, Dang, Nepal","Maitighar, Kathmandu, Nepal",1985-05-17,2024-05-28,QKJJKCBWI0
17,16,19,89-04-95690392,A-,769-44973-94012/456699,3264.0,001.01.20,20205417.0,40.0,Hari Lama,MNOP7890IJ,20305417.0,FG890H,Rita Lama, Female,Dipesh Pokharel,123456790.0,Shyam Sundar Pokharel,"Damak, Jhapa, Nepal","Gaushala, Kathmandu, Nepal",1982-08-20,2024-05-28,SKY6L2PJUC
18,17,7,98-03-72394228,A-,323-37869-95909/623481,3252.0,001.01.08,88847326.0,50.0,Raj Maharjan,TUVW9012XY,89847326.0,VW234X,Nanu Maharjan, Female,Sarita Sherpa,8901234567.0,Shiva Narayan Sherpa,"Janakpur, Dhanusa, Nepal","New Baneshwor, Kathmandu, Nepal",1997-08-08,2024-05-28,WFT0ZX0X7G
19,18,4,14-11-40056582,A+,864-17331-40021/961722,3249.0,001.01.05,55562139.0,27.0,Sarita Karki,VWXYZ7890N,56562139.0,MN345O,Kalpana Karki, Male,Mohan Lama,5678901234.0,Krishna Raj Lama,"Bharatpur, Chitwan, Nepal","Balkumari, Lalitpur, Nepal",1994-05-05,2024-05-28,WRIWET3BHO
20,19,2,93-12-35351480,B-,389-45382-93886/821590,3247.0,001.01.03,33385241.0,52.0,Maya Adhikari,LMNOP9012L,33485241.0,GH789I,Gita Adhikari, Male,Hari Gurung,3456789012.0,Gopal Krishna Gurung,"Chitwan National Park, Chitwan, Nepal","Pulchowk, Lalitpur, Nepal",1992-03-03,2024-05-28,Y1FYV3D65U
